**Producto:** 2024-02-18
Fecha, Hora, Cantidad
2024-02-18,22:41:09,4474,32
2024-02-18,22:41:09,2365,82
2024-02-18,22:41:09,693,65
2024-02-18,22:41:09,5811,87
2024-02-18,22:41:09,682,38
2024-02-18,22:41:09,7782,81
2024-02-18,22:41:09,2751,87
2024-02-18,22:41:09,4815,75
2024-02-18,22:41:10,979,42
2024-02-18,22:41:10,2807,33
2024-02-18,22:47:51,6505,86
2024-02-18,22:47:51,1482,95
2024-02-18,22:47:52,1991,90
2024-02-18,22:47:52,3603,88
2024-02-18,22:47:52,2051,43
2024-02-18,22:47:52,8282,40
2024-02-18,22:47:52,7166,94
2024-02-18,22:47:52,2748,29
2024-02-18,22:47:52,916,0
2024-02-18,22:47:52,9901,18
2024-02-18,22:50:49,9219,56
2024-02-18,22:50:49,7988,28
2024-02-18,22:50:49,313,63
2024-02-18,22:50:49,3605,0
2024-02-18,22:50:49,6607,78
2024-02-18,22:50:50,6991,39
2024-02-18,22:50:50,4496,53
2024-02-18,22:50:50,4665,7
2024-02-18,22:50:50,929,84
2024-02-18,22:50:50,5886,99
